sentence_id,words,labels
0,terminologija,B
0,se,O
0,jezikoslovec,B
0,včasih,O
0,zdeti,O
0,suhoparen,O
0,",",O
0,celo,O
0,dolgočasen,O
0,.,O
1,toda,O
1,terminološki,B
1,delo,I
1,biti,B
1,v,O
1,resnica,O
1,zelo,O
1,dinamičen,O
1,",",O
1,saj,O
1,temeljiti,O
1,na,O
1,nenehen,O
1,usklajevanje,O
1,področen,B
1,strokovnjak,I
1,in,O
1,jezikoslovec,B
1,.,O
2,pri,O
2,–,O
2,večkrat,O
2,nekritičen,O
2,–,O
2,prevzemanje,O
2,termin,B
2,iz,O
2,drug,B
2,jezik,I
2,biti,B
2,treba,O
2,upoštevati,O
2,jezikovnosistemski,O
2,možnost,O
2,slovenščina,B
2,;,O
2,pogosto,O
2,se,O
2,biti,O
2,treba,O
2,odločiti,O
2,",",O
2,ali,O
2,dati,B
2,prednost,O
2,bolj,O
2,ustaljen,O
2,ali,O
2,strokovno,O
2,ustrezen,O
2,termin,O
2,",",O
2,ali,O
2,biti,O
2,pomemben,O
2,gospodarnost,B
2,ali,O
2,velik,O
2,natančnost,B
2,poimenovanje,B
2,itd.,O
3,seveda,O
3,iti,O
3,jezik,B
3,pogosto,O
3,svoj,O
3,pot,O
3,in,O
3,neupoštevanje,O
3,sicer,O
3,ustrezen,O
3,dogovoren,O
3,terminološki,O
3,rešitev,O
3,ne,O
3,iti,O
3,jemati,O
3,preveč,O
3,usoden,O
3,.,O
4,že,O
4,samo,O
4,ukvarjanje,O
4,z,O
4,terminologija,B
4,in,O
4,z,O
4,ta,O
4,zavest,O
4,o,O
4,potrebnost,O
4,nenehen,O
4,usklajevanje,O
4,pojmoven,O
4,in,O
4,poimenovalen,B
4,sistem,I
4,strok,I
4,pripomoči,O
4,k,O
4,bolj,O
4,učinkovit,O
4,sporazumevanje,B
4,znotraj,O
4,strok,O
4,.,O
5,obstajati,O
5,celo,O
5,poskus,O
5,finančen,O
5,ovrednotenje,O
5,korist,O
5,",",O
5,ki,O
5,on,O
5,reči,B
5,podjetje,B
5,prinašati,O
5,bolj,O
5,urejen,O
5,in,O
5,usklajen,O
5,terminologija,B
5,.,O
6,toda,O
6,pravi,B
6,družben,O
6,vloga,O
6,terminološki,B
6,veda,B
6,biti,B
6,gotovo,O
6,v,O
6,pomoč,O
6,pri,O
6,organiziranje,O
6,znanje,O
6,v,O
6,čas,B
6,",",O
6,ko,O
6,biti,O
6,ta,O
6,široko,O
6,dostopen,O
6,",",O
6,ampak,O
6,bolj,O
6,razpršen,O
6,kot,O
6,kadarkoli,O
6,prej,O
6,.,O
7,upati,O
7,",",O
7,da,O
7,biti,B
7,knjiga,O
7,terminologija,O
7,med,O
7,slovar,B
7,in,O
7,besedilo,B
7,:,O
7,analiza,O
7,elektrotehniški,B
7,terminologija,O
7,",",O
7,ki,O
7,biti,O
7,nastati,O
7,na,O
7,podlaga,O
7,predelan,O
7,in,O
7,dopolnjen,O
7,doktorski,B
7,disertacija,I
7,",",O
7,zanimiv,O
7,in,O
7,koristen,O
7,branje,O
7,za,O
7,ves,O
7,",",O
7,ki,O
7,se,O
7,tako,O
7,ali,O
7,drugače,O
7,srečevati,O
7,z,O
7,terminologija,O
7,.,O
8,z,O
8,terminološki,B
8,delo,I
8,biti,B
8,se,O
8,resno,O
8,začeti,O
8,ukvarjati,O
8,",",O
8,ko,O
8,biti,O
8,kot,O
8,mlad,B
8,raziskovalka,I
8,priti,O
8,na,O
8,sekcija,O
8,za,O
8,terminološki,O
8,slovar,O
8,inštitut,O
8,za,O
8,slovenski,B
8,jezik,I
8,frana,O
8,ramovše,O
8,zrc,O
8,Saz,O
8,.,O
9,tu,O
9,biti,B
9,jaz,O
9,pričakati,O
9,izkušen,O
9,sodelavec,O
9,",",O
9,ki,O
9,biti,O
9,jaz,O
